recall per class ['0/0', '0/3', '1/8', '4/15', '0/1', '0/0', '77/101']
recall per class ['0/0', '0/2', '4/13', '10/23', '0/2', '0/0', '67/88']
recall per class ['0/0', '0/3', '3/11', '10/20', '0/0', '0/0', '73/94']
recall per class ['0/0', '0/4', '2/5', '5/16', '0/2', '0/0', '84/101']
recall per class ['0/0', '0/2', '1/4', '6/23', '0/0', '0/0', '76/99']
recall per class ['0/0', '0/3', '1/4', '11/20', '0/4', '0/0', '67/97']
recall per class ['0/1', '0/0', '3/7', '9/18', '0/1', '0/0', '69/101']
recall per class ['0/0', '0/1', '2/7', '3/19', '0/1', '0/0', '73/100']
recall per class ['0/0', '0/2', '2/3', '10/20', '0/0', '0/0', '84/103']
recall per class ['0/0', '0/1', '3/7', '10/19', '0/3', '0/0', '68/98']
recall per class ['0/0', '0/3', '1/9', '7/16', '0/1', '0/0', '78/99']
recall per class ['0/0', '0/5', '1/6', '5/19', '0/0', '0/0', '77/98']
recall per class ['0/0', '0/0', '2/9', '11/29', '0/1', '0/0', '74/89']
recall per class ['0/0', '0/1', '4/8', '6/16', '0/0', '0/0', '72/103']
recall per class ['0/0', '0/4', '4/6', '9/23', '0/0', '0/0', '82/95']
recall per class ['0/0', '0/3', '5/8', '9/19', '0/1', '0/0', '74/97']
recall per class ['0/0', '0/1', '5/8', '3/17', '0/2', '0/0', '78/100']
recall per class ['0/0', '0/3', '3/6', '2/16', '0/2', '0/0', '67/101']
recall per class ['0/0', '0/1', '2/5', '5/22', '0/2', '0/0', '72/98']
recall per class ['0/0', '0/3', '3/5', '6/15', '0/2', '0/0', '76/103']
recall per class ['0/0', '0/5', '1/6', '6/19', '0/0', '0/0', '74/98']
recall per class ['0/0', '0/2', '2/10', '3/11', '0/3', '0/0', '78/102']
recall per class ['0/0', '0/2', '1/5', '10/21', '0/2', '0/0', '80/98']
recall per class ['0/0', '0/3', '5/8', '6/11', '0/1', '0/0', '80/105']
recall per class ['0/0', '0/0', '6/14', '5/19', '0/0', '0/0', '77/95']
recall per class ['0/0', '0/4', '4/6', '4/18', '0/0', '0/0', '77/100']
recall per class ['0/0', '0/3', '2/4', '10/21', '0/0', '0/0', '76/100']
recall per class ['0/0', '0/2', '0/5', '7/24', '0/1', '0/0', '77/96']
recall per class ['0/0', '0/2', '5/7', '7/18', '0/0', '0/0', '79/101']
recall per class ['0/0', '0/3', '3/8', '4/13', '0/2', '0/0', '80/102']
recall per class ['0/0', '0/2', '0/2', '7/17', '0/2', '0/0', '69/105']
recall per class ['0/0', '0/1', '1/3', '6/17', '0/1', '0/0', '72/106']
recall per class ['0/0', '0/3', '3/4', '7/19', '0/1', '0/0', '79/101']
recall per class ['0/0', '1/3', '1/4', '9/12', '0/1', '0/0', '81/108']
recall per class ['0/0', '0/3', '2/6', '6/17', '0/2', '0/0', '85/100']
