['0/0', '1/3', '4/6', '6/17', '0/0', '0/0', '89/102']
['0/0', '1/1', '4/4', '6/8', '0/0', '0/0', '90/115']
['0/0', '1/1', '2/2', '6/12', '1/2', '0/0', '90/111']
['0/0', '1/2', '3/4', '16/22', '1/1', '0/0', '85/99']
['0/0', '2/2', '5/5', '11/18', '0/0', '0/0', '87/103']
['0/0', '3/3', '8/8', '11/20', '0/0', '0/0', '87/97']
['0/0', '2/2', '4/4', '9/15', '0/3', '0/0', '82/104']
['0/0', '2/3', '8/10', '16/20', '0/1', '0/0', '77/94']
['0/0', '1/1', '6/6', '12/18', '0/2', '0/0', '78/101']
['0/0', '2/2', '6/6', '8/16', '0/1', '0/0', '86/103']
['0/0', '1/1', '6/7', '10/15', '0/3', '0/0', '93/102']
['0/0', '4/5', '4/4', '9/20', '0/0', '0/0', '87/99']
['0/0', '3/4', '7/9', '12/25', '0/1', '0/0', '67/89']
['0/0', '3/5', '7/8', '14/22', '0/0', '0/0', '78/93']
['0/0', '2/4', '13/14', '8/12', '0/0', '0/0', '80/98']
['0/0', '1/3', '3/3', '15/19', '1/1', '0/0', '76/102']
['0/0', '1/2', '7/7', '11/21', '0/0', '0/0', '72/98']
['0/0', '1/2', '9/10', '10/19', '1/1', '0/0', '85/96']
['0/0', '2/5', '7/7', '11/19', '0/1', '0/0', '83/96']
['0/0', '0/2', '7/9', '12/17', '0/0', '0/0', '82/100']
['0/0', '0/2', '3/4', '17/21', '0/2', '0/0', '79/99']
['0/0', '3/3', '8/8', '13/19', '0/0', '0/0', '89/98']
['0/0', '2/3', '3/3', '8/13', '0/0', '0/0', '89/109']
['0/0', '2/3', '4/5', '17/20', '1/1', '0/0', '80/99']
['0/0', '1/2', '6/7', '12/19', '0/0', '0/0', '86/100']
['0/0', '0/3', '4/4', '12/17', '1/2', '0/0', '86/102']
['0/0', '3/3', '9/9', '13/14', '1/1', '0/0', '87/101']
['0/0', '0/1', '7/7', '13/18', '0/0', '0/0', '91/102']
['0/0', '3/5', '5/5', '17/22', '1/1', '0/0', '78/95']
['0/0', '0/1', '5/6', '14/19', '0/0', '0/0', '84/102']
